Artist_ID,Nama_Artis,Primary_Genre
ART-C781E33E,EMDR,Indie / Alternative
ART-355067CA,Sweeping Promises,Indie / Alternative
ART-C5E1927F,natural/electronic.system.,Indie / Alternative
ART-2D925FE2,"Eluize (Night Tide, Bermuda Series)",Indie / Alternative
ART-3D6872E7,INVT & Nick León,Indie / Alternative
ART-6E8E2595,Slam,Indie / Alternative
ART-D5AD8153,club joya,Indie / Alternative
ART-1E2F314A,IMANU,Indie / Alternative
ART-FACC20EA,Biga Yut,Indie / Alternative
ART-6B37A976,Neànder,Indie / Alternative
ART-1911925A,DJ DOG,Indie / Alternative
ART-3C459A10,Robodroid,Indie / Alternative
ART-B04E8AFD,Deepness Dawn,Indie / Alternative
ART-4C532B4E,Brandy,Indie / Alternative
ART-5C67692F,Moan,Indie / Alternative
ART-8335D5C4,Lena Raine,Indie / Alternative
ART-CA1E3636,Prieur&Landry,Indie / Alternative
ART-0B04B56E,Howie Lee,Indie / Alternative
ART-20A08774,D-STYLES,Indie / Alternative
ART-6BE3F6A3,mikrokosmos,Indie / Alternative
ART-58BFE7ED,Jackie Venson,Indie / Alternative
ART-92C1C59D,Kikagaku Moyo,Indie / Alternative
ART-CC80D249,ArchivOne,Indie / Alternative
ART-C30546B7,Damian Sanchez,Indie / Alternative
ART-BDFBA937,KIND,Indie / Alternative
ART-0610D729,Camp Blood,Indie / Alternative
ART-579D665B,Shackleton/Zimpel,Indie / Alternative
ART-70878BCC,"Felipe Felino, Rimon Guimarães",Indie / Alternative
ART-2D05630D,◊►≈,Indie / Alternative
ART-137E53B7,SIMON LEBRON-MONSTER MANUAL LP,Indie / Alternative
ART-624229CB,Field Medic,Indie / Alternative
ART-55FB0B9A,Fidde,Indie / Alternative
ART-E16ED45C,Point 7,Indie / Alternative
ART-945125C1,PICTUREPLANE,Indie / Alternative
ART-21C10A85,betina quest ft Andrew Asare,Indie / Alternative
ART-AC4E4A6D,DRS & Dynamite MC,Indie / Alternative
ART-7F0944A8,Dominique Fils-Aimé,Indie / Alternative
ART-96C1B810,Jay Tholen,Indie / Alternative
ART-CC3A63FE,Small Engine Chorus,Indie / Alternative
ART-6BCAAF28,Jeremiah Cymerman,Indie / Alternative
ART-5DAF1661,Bluetech,Indie / Alternative
ART-2DCD0D9D,Self-Cut Bangs,Indie / Alternative
ART-5B92D093,Cults,Indie / Alternative
ART-1CF75EA8,Seba & Manos,Indie / Alternative
ART-FE03F17F,Pusher,Indie / Alternative
ART-7AA47BBB,Dom & Adred,Indie / Alternative
ART-30831385,Vocallective Records,Indie / Alternative
ART-E28B7D27,Précipices,Indie / Alternative
ART-1DBE8380,Fixate,Indie / Alternative
ART-F314BEC4,Cormorant,Indie / Alternative
ART-36C5E025,Katavasia,Indie / Alternative
ART-5CD2ADC9,Artificial Intelligence,Indie / Alternative
ART-1A30C5D3,Octave,Indie / Alternative
ART-50710216,Sofa Sound Bristol,Indie / Alternative
ART-507066F0,Merchandise feat. Dum Dum Girls,Indie / Alternative
ART-082A60DD,Dum Dum Girls,Indie / Alternative
ART-226AE6A7,Intercepting Pattern,Indie / Alternative
ART-2720ABD3,Washed Out,Indie / Alternative
ART-97070758,Spiral Trax,Indie / Alternative
ART-DDD8C1C9,Harpsona,Indie / Alternative
ART-46CEEE11,Luke Abbott,Indie / Alternative
ART-7971F8DD,Manticora,Indie / Alternative
ART-6D820992,Jen Swartout,Indie / Alternative
ART-D775ECF8,Nepumuk,Indie / Alternative
ART-3B295B93,Lobec,Indie / Alternative
ART-5FE85CA0,Battlelore,Indie / Alternative
ART-5DAE231E,Celtic Fiddle Music | Georgia Nettleton,Indie / Alternative
ART-12E67AAC,Seven,Indie / Alternative
ART-EC49A94B,Aesop Rock,Indie / Alternative
ART-885F5DD8,DJU DJU,Indie / Alternative
ART-A86EA2FD,Blackbird Raum,Indie / Alternative
ART-FB6FC6D4,Jenny Lapp,Indie / Alternative
ART-C5CC70AD,Lomelda,Indie / Alternative
ART-B5088905,Aqeel Aadam,Indie / Alternative
ART-832CF551,PanoSigma,Indie / Alternative
ART-B8E0DB11,Against All Logic,Indie / Alternative
ART-98D0A54F,I:Cube,Indie / Alternative
ART-02E19A9A,Gabriel Rei,Indie / Alternative
ART-19FF8F43,Joey Weisenberg & The Hadar Ensemble,Indie / Alternative
ART-DD176114,OPOLOPO,Indie / Alternative
ART-345ACBA5,marcello sahea,Indie / Alternative
ART-09BEFEAD,WLDV,Indie / Alternative
ART-F931E32A,NYP Records,Indie / Alternative
ART-3A51B9F8,Actress,Indie / Alternative
ART-28780C21,Summerless,Indie / Alternative
ART-06D9470D,Sean Schafianski,Indie / Alternative
ART-60435D42,UFO Hawaii,Indie / Alternative
ART-9828C235,Hardy Fox,Indie / Alternative
ART-8BE63877,Ran Katan,Indie / Alternative
ART-CA7668A0,Graz,Indie / Alternative
ART-DA6A729E,Cheise,Indie / Alternative
ART-D5D00ABE,Epoch,Indie / Alternative
ART-A008865B,Christopher Joseph,Indie / Alternative
ART-D015DAF7,Sweet Time,Indie / Alternative
ART-E560DC5C,Blue Hour,Indie / Alternative
ART-FCE01768,ElPeche,Indie / Alternative
ART-F66C6545,Smoove & Turrell,Indie / Alternative
ART-E7024CF5,Eisel,Indie / Alternative
ART-9707F439,All Them Witches,Indie / Alternative
ART-3C1A838F,Whipstriker,Indie / Alternative
ART-E18C4A6A,Gabor Szabo,Indie / Alternative
ART-E28B52A9,Totalement Sublime,Indie / Alternative
ART-2F0713AC,Adam Pits,Indie / Alternative
ART-512CFF83,Dilly Dally,Indie / Alternative
ART-37AF8919,"Arutani, Acud, Brigade",Indie / Alternative
ART-4DF35725,Zeal and Ardor,Indie / Alternative
ART-1D01C419,Highko,Indie / Alternative
ART-0C4B2EE0,Blast Records,Indie / Alternative
ART-1464EC2D,"Highko, Selective MooD",Indie / Alternative
ART-34350A1A,WET TUNA,Indie / Alternative
ART-EE5DA88A,LEON VYNEHALL,Indie / Alternative
ART-884E9F10,La P'tite Fumée,Indie / Alternative
ART-09B201F4,Las Cafeteras,Indie / Alternative
ART-25D813BA,The Mission,Indie / Alternative
ART-54C33362,Persus Nine,Indie / Alternative
ART-362EA7F9,DappyTKeys,Indie / Alternative
ART-AF1651B0,Rupert Oxlade,Indie / Alternative
ART-D9F3EC02,Yagya,Indie / Alternative
ART-941D0A20,Exos & Ohm,Indie / Alternative
ART-977AB935,Tall Black Guy,Indie / Alternative
ART-5133BB97,V/A,Indie / Alternative
ART-7D7824BE,Nikita Zabelin,Indie / Alternative
ART-A60E32E4,Piero Piccioni,Indie / Alternative
ART-E1827CA0,B.Slade,Indie / Alternative
ART-6097F89E,Death,Indie / Alternative
ART-8CAB1B09,Alberto Baldan Bembo,Indie / Alternative
ART-E3AA9CDE,Alessandro Alessandroni,Indie / Alternative
ART-005663B0,Krs.,Indie / Alternative
ART-EE83253A,Werendia,Indie / Alternative
ART-CEEC6921,Highrise,Indie / Alternative
ART-5FC949A5,E-MANTRA (old account),Indie / Alternative
ART-63CF4283,Nick Lurwick,Indie / Alternative
ART-8AC7EF66,Desolator,Indie / Alternative
